year,title,directors_0,rating,genres_0,genres_1,rank,running_time_secs,actors_0,actors_1,actors_2,directors_1,directors_2
2013,The Kings of Summer,Jordan Vogt-Roberts,7.1,Comedy,Drama,107,5700,Nick Robinson,Gabriel Basso,Moises Arias,,
2009,Mr. Nobody,Jaco Van Dormael,7.8,Drama,Fantasy,108,8460,Jared Leto,Sarah Polley,Diane Kruger,,
2013,The Fifth Estate,Bill Condon,6.4,Biography,Drama,110,7680,Benedict Cumberbatch,Daniel Bruhl,Carice van Houten,,
1997,Titanic,James Cameron,7.6,Drama,Romance,111,11640,Leonardo DiCaprio,Kate Winslet,Billy Zane,,
2004,The Incredibles,Brad Bird,8,Animation,Action,112,6900,Craig T. Nelson,Samuel L. Jackson,Holly Hunter,,
2014,Into the Woods,Rob Marshall,,Comedy,Fantasy,113,,Anna Kendrick,Johnny Depp,Chris Pine,,
1994,Pulp Fiction,Quentin Tarantino,9,Crime,Drama,114,9240,John Travolta,Uma Thurman,Samuel L. Jackson,,
2013,The Call,Brad Anderson,6.6,Crime,Thriller,115,5640,Halle Berry,Evie Thompson,Abigail Breslin,,
2013,Side Effects,Steven Soderbergh,7.1,Crime,Drama,116,6360,Rooney Mara,Channing Tatum,Jude Law,,
2012,The Iceman,Ariel Vromen,6.9,Biography,Crime,117,6300,Michael Shannon,Chris Evans,James Franco,,
1939,The Wizard of Oz,Victor Fleming,8.2,Adventure,Family,118,6060,Judy Garland,Frank Morgan,Ray Bolger,George Cukor,Mervyn LeRoy
2013,Big Sur,Michael Polish,6.3,Drama,,119,6000,Stana Katic,Radha Mitchell,Kate Bosworth,,
1985,The Breakfast Club,John Hughes,7.9,Comedy,Drama,120,5820,Emilio Estevez,Judd Nelson,Molly Ringwald,,
2010,Inception,Christopher Nolan,8.8,Action,Adventure,121,8880,Leonardo DiCaprio,Joseph Gordon-Levitt,Ellen Page,,
2012,Hitchcock,Sacha Gervasi,6.9,Biography,Drama,122,5880,Anthony Hopkins,Helen Mirren,Scarlett Johansson,,
2014,The Expendables 3,Patrick Hughes,,Action,Adventure,123,,Jason Statham,Sylvester Stallone,Arnold Schwarzenegger,,
2013,The Wolverine,James Mangold,7.1,Action,Adventure,124,7560,Hugh Jackman,Will Yun Lee,Tao Okamoto,,
2013,The Purge,James DeMonaco,5.5,Horror,Sci-Fi,125,5100,Ethan Hawke,Lena Headey,Max Burkholder,,
2013,Safe Haven,Lasse Hallstrom,6.4,Drama,Mystery,126,6900,Julianne Hough,Josh Duhamel,Cobie Smulders,,
2012,The Perks of Being a Wallflower,Stephen Chbosky,8,Drama,Romance,127,6120,Logan Lerman,Emma Watson,Ezra Miller,,
2009,Star Trek,J.J. Abrams,8,Action,Adventure,128,7620,Chris Pine,Zachary Quinto,Simon Pegg,,
2013,One Direction: This Is Us,Morgan Spurlock,3.1,Documentary,Music,129,5520,Liam Payne,Harry Styles,Zayn Malik,,
2012,Cloud Atlas,Tom Tykwer,7.6,Adventure,Drama,130,10320,Tom Hanks,Halle Berry,Hugh Grant,Andy Wachowski,Lana Wachowski
2011,Harry Potter and the Deathly Hallows: Part 2,David Yates,8.1,Adventure,Family,131,7800,Daniel Radcliffe,Emma Watson,Rupert Grint,,
2013,Empire State,Dito Montiel,5,Action,Drama,132,5640,Liam Hemsworth,Michael Angarano,Dwayne Johnson,,
2013,The Frozen Ground,Scott Walker,6.2,Biography,Crime,133,6300,Nicolas Cage,Vanessa Hudgens,John Cusack,,
2013,The Wolf of Wall Street,Martin Scorsese,,Biography,Crime,134,,Leonardo DiCaprio,P.J. Byrne,Jon Favreau,,
2011,Thor,Kenneth Branagh,7,Action,Adventure,135,6900,Chris Hemsworth,Anthony Hopkins,Natalie Portman,Joss Whedon,
2010,I Spit on Your Grave,Steven R. Monroe,6.2,Crime,Horror,136,6480,Sarah Butler,Jeff Branson,Andrew Howard,,
2004,The Notebook,Nick Cassavetes,7.9,Drama,Romance,137,7380,Gena Rowlands,James Garner,Rachel McAdams,,
2012,Looper,Rian Johnson,7.5,Action,Crime,139,7140,Joseph Gordon-Levitt,Bruce Willis,Emily Blunt,,
2013,The Spectacular Now,James Ponsoldt,7.7,Comedy,Drama,140,5700,Miles Teller,Shailene Woodley,Kyle Chandler,,
2013,The Heat,Paul Feig,6.9,Action,Comedy,141,7020,Sandra Bullock,Michael McDonald,Melissa McCarthy,,
2009,Inglourious Basterds,Quentin Tarantino,8.3,Adventure,Drama,142,9180,Brad Pitt,Diane Kruger,Eli Roth,Eli Roth,
1972,The Godfather,Francis Ford Coppola,9.2,Crime,Drama,143,10500,Marlon Brando,Al Pacino,James Caan,,
2013,Filth,Jon S. Baird,7.2,Comedy,Crime,144,5820,James McAvoy,Imogen Poots,Iain De Caestecker,,
1999,Fight Club,David Fincher,8.8,Drama,,145,8340,Brad Pitt,Edward Norton,Helena Bonham Carter,,
2013,Escape from Tomorrow,Randy Moore,5.9,Drama,Fantasy,146,5400,Roy Abramsohn,Elena Schuber,Katelynn Rodriguez,,
1976,Carrie,Brian De Palma,7.4,Horror,Thriller,147,5880,Sissy Spacek,Piper Laurie,Amy Irving,,
2013,Enough Said,Nicole Holofcener,7.5,Comedy,,148,5580,Julia Louis-Dreyfus,James Gandolfini,Catherine Keener,,
2012,Prometheus,Ridley Scott,7.1,Adventure,Mystery,149,7440,Noomi Rapace,Logan Marshall-Green,Michael Fassbender,,
2006,The Departed,Martin Scorsese,8.5,Crime,Drama,150,9060,Leonardo DiCaprio,Matt Damon,Jack Nicholson,,
1994,Dumb & Dumber,Peter Farrelly,7.2,Comedy,,151,6420,Jim Carrey,Jeff Daniels,Lauren Holly,Bobby Farrelly,
2013,Romeo and Juliet,Carlo Carlei,5,Drama,Romance,152,7080,Hailee Steinfeld,Douglas Booth,Damian Lewis,,
2009,Cloudy with a Chance of Meatballs,Phil Lord,7,Animation,Comedy,153,5400,Anna Faris,Bill Hader,Bruce Campbell,Chris Miller,
2013,CBGB,Randall Miller,6.3,Drama,History,154,,Malin Akerman,Stana Katic,Johnny Galecki,,
2013,The Counselor,Ridley Scott,,Crime,Drama,155,6660,Brad Pitt,Goran Visnjic,Michael Fassbender,,
2013,Kill Your Darlings,John Krokidas,7.1,Biography,Drama,156,6240,Michael C. Hall,Elizabeth Olsen,Daniel Radcliffe,,
2013,Only God Forgives,Nicolas Winding Refn,6,Crime,Drama,157,5400,Ryan Gosling,Kristin Scott Thomas,Vithaya Pansringarm,,
2013,Evil Dead,Fede Alvarez,6.5,Horror,,158,5460,Jane Levy,Shiloh Fernandez,Jessica Lucas,,
2012,Stuck in Love,Josh Boone,7,Comedy,Drama,159,5820,Lily Collins,Logan Lerman,Kristen Bell,,
2013,Bad Grandpa,Jeff Tremaine,,Comedy,,160,,Johnny Knoxville,Jackson Nicoll,Spike Jonze,,
2011,You're Next,Adam Wingard,6.9,Comedy,Horror,161,5640,Sharni Vinson,Joe Swanberg,AJ Bowen,,
2011,Crazy  Stupid  Love.,Glenn Ficarra,7.4,Comedy,Drama,163,7080,Steve Carell,Ryan Gosling,Julianne Moore,John Requa,
2006,300,Zack Snyder,7.7,Action,Fantasy,164,7020,Gerard Butler,Lena Headey,David Wenham,,
2011,Conan the Barbarian,Marcus Nispel,5.1,Action,Adventure,165,6780,Jason Momoa,Ron Perlman,Rose McGowan,,
2013,Scenic Route,Kevin Goetz,6.3,Drama,Thriller,166,,Josh Duhamel,Dan Fogler,Miracle Laurie,Michael Goetz,
2012,Zero Dark Thirty,Kathryn Bigelow,7.4,Drama,History,167,9420,Jessica Chastain,Joel Edgerton,Chris Pratt,,
2011,The Awakening,Nick Murphy,6.4,Horror,Thriller,169,6420,Rebecca Hall,Dominic West,Imelda Staunton,,
2012,The Twilight Saga: Breaking Dawn - Part 2,Bill Condon,5.5,Adventure,Drama,170,6900,Kristen Stewart,Robert Pattinson,Taylor Lautner,,
2008,Iron Man,Jon Favreau,7.9,Action,Adventure,171,7560,Robert Downey Jr.,Gwyneth Paltrow,Terrence Howard,,
2013,Oz the Great and Powerful,Sam Raimi,6.5,Adventure,Family,172,7800,James Franco,Michelle Williams,Rachel Weisz,,
2010,Despicable Me,Pierre Coffin,7.6,Animation,Comedy,173,5700,Steve Carell,Jason Segel,Russell Brand,Chris Renaud,
2013,Movie 43,Elizabeth Banks,4.4,Comedy,,174,5640,Emma Stone,Stephen Merchant,Richard Gere,Steven Brill,Steve Carr
2013,Warm Bodies,Jonathan Levine,6.9,Comedy,Horror,175,5880,Nicholas Hoult,Teresa Palmer,John Malkovich,,
2012,Flight,Robert Zemeckis,7.3,Drama,Thriller,176,8280,Denzel Washington,Nadine Velazquez,Don Cheadle,,
2014,I  Frankenstein,Stuart Beattie,,Action,Fantasy,177,,Aaron Eckhart,Bill Nighy,Miranda Otto,,
2013,G.I. Joe: Retaliation,Jon M. Chu,5.8,Action,Adventure,178,6600,Dwayne Johnson,Channing Tatum,Adrianne Palicki,,
2014,300: Rise of an Empire,Noam Murro,,Action,Drama,179,,Sullivan Stapleton,Rodrigo Santoro,Eva Green,,
2001,The Lord of the Rings: The Fellowship of the Ring,Peter Jackson,8.8,Action,Adventure,180,10680,Elijah Wood,Ian McKellen,Orlando Bloom,,
2013,Red 2,Dean Parisot,7,Action,Comedy,181,6960,Bruce Willis,Helen Mirren,John Malkovich,,
2013,Anchorman 2: The Legend Continues,Adam McKay,,Comedy,,182,,Will Ferrell,Christina Applegate,Paul Rudd,,
2012,Dredd,Pete Travis,7,Action,Sci-Fi,183,5700,Karl Urban,Olivia Thirlby,Lena Headey,,
2013,The Smurfs 2,Raja Gosnell,4.9,Animation,Comedy,184,6300,Neil Patrick Harris,Jayma Mays,Katy Perry,,
2001,Harry Potter and the Sorcerer's Stone,Chris Columbus,7.3,Adventure,Family,185,9120,Daniel Radcliffe,Rupert Grint,Richard Harris,,
2012,21 Jump Street,Phil Lord,7.1,Action,Comedy,186,6540,Jonah Hill,Channing Tatum,Ice Cube,Chris Miller,
1980,The Shining,Stanley Kubrick,8.5,Horror,Mystery,187,8760,Jack Nicholson,Shelley Duvall,Danny Lloyd,,
2012,The Cabin in the Woods,Drew Goddard,7.1,Horror,Mystery,188,5700,Kristen Connolly,Chris Hemsworth,Anna Hutchison,,
2013,Turbo,David Soren,6.3,Animation,Adventure,189,5760,Ryan Reynolds,Paul Giamatti,Maya Rudolph,,
2013,The Lone Ranger,Gore Verbinski,6.6,Action,Adventure,190,8940,Johnny Depp,Armie Hammer,William Fichtner,,
2011,Moneyball,Bennett Miller,7.6,Biography,Drama,193,7980,Brad Pitt,Robin Wright,Jonah Hill,,
2001,Donnie Darko,Richard Kelly,8.1,Drama,Mystery,194,6780,Jake Gyllenhaal,Jena Malone,Mary McDonnell,,
2011,Drive,Nicolas Winding Refn,7.9,Crime,Drama,195,6000,Ryan Gosling,Carey Mulligan,Bryan Cranston,,
2013,The Internship,Shawn Levy,6.3,Comedy,,196,7140,Vince Vaughn,Owen Wilson,Rose Byrne,,
2012,Skyfall,Sam Mendes,7.8,Action,Adventure,197,8580,Daniel Craig,Javier Bardem,Naomie Harris,,
2004,Mean Girls,Mark Waters,6.8,Comedy,,198,5820,Lindsay Lohan,Jonathan Bennett,Rachel McAdams,,
2006,The Prestige,Christopher Nolan,8.4,Drama,Mystery,199,7800,Christian Bale,Hugh Jackman,Scarlett Johansson,,
2011,Intouchables,Olivier Nakache,8.5,Biography,Comedy,200,6720,Francois Cluzet,Omar Sy,Anne Le Ny,Eric Toledano,
2013,Nebraska,Alexander Payne,7.5,Adventure,Drama,201,6900,Bruce Dern,Will Forte,June Squibb,,
2013,Zero Charisma,Katie Graham,6.2,Comedy,,202,5160,Sam Eidson,Anne Gee Byrd,Brock England,Andrew Matthews,
2013,American Hustle,David O. Russell,,Drama,,203,,Christian Bale,Amy Adams,Bradley Cooper,,
1985,Back to the Future,Robert Zemeckis,8.5,Adventure,Comedy,204,6960,Michael J. Fox,Christopher Lloyd,Lea Thompson,,
2013,Adore,Anne Fontaine,6.1,Drama,,205,6000,Naomi Watts,Robin Wright,Xavier Samuel,,
2000,Requiem for a Dream,Darren Aronofsky,8.4,Drama,,206,6120,Ellen Burstyn,Jared Leto,Jennifer Connelly,,
2013,Monsters University,Dan Scanlon,7.6,Animation,Adventure,207,6240,Billy Crystal,John Goodman,Steve Buscemi,,
2013,Parkland,Peter Landesman,5.6,Drama,,208,5580,Zac Efron,Tom Welling,Billy Bob Thornton,,
2010,She's Out of My League,Jim Field Smith,6.4,Comedy,Romance,209,6240,Jay Baruchel,Alice Eve,T.J. Miller,,
1999,American Beauty,Sam Mendes,8.5,Drama,,210,7320,Kevin Spacey,Annette Bening,Thora Birch,,
2013,Homefront,Gary Fleder,,Action,Thriller,211,,James Franco,Jason Statham,Rachelle Lefevre,,
